Date,Team1,Team2,Map,Event
18/12/19,Juggernauts (3),FATE (16),"vtg
                      Vertigo",RES Season 1
18/12/19,mousesports (22),Virtus.pro (19),"d2
                      Dust2",EPICENTER 2019
18/12/19,mousesports (16),Virtus.pro (11),"mrg
                      Mirage",EPICENTER 2019
18/12/19,Virtus.pro (16),mousesports (11),"inf
                      Inferno",EPICENTER 2019
18/12/19,Evil Geniuses (16),forZe (4),"nuke
                      Nuke",EPICENTER 2019
18/12/19,forZe (14),Evil Geniuses (16),"mrg
                      Mirage",EPICENTER 2019
17/12/19,Owned (16),Cream (14),"ovp
                      Overpass",WESG 2019 Central Europe & Iberia Closed Qualifier
17/12/19,Owned (14),Cream (16),"d2
                      Dust2",WESG 2019 Central Europe & Iberia Closed Qualifier
17/12/19,Owned (16),Cream (10),"mrg
                      Mirage",WESG 2019 Central Europe & Iberia Closed Qualifier
17/12/19,Heretics (14),LDLC (16),"nuke
                      Nuke",WESG 2019 West Europe Closed Qualifier
17/12/19,LDLC (16),Heretics (14),"d2
                      Dust2",WESG 2019 West Europe Closed Qualifier
17/12/19,Vitality (16),Natus Vincere (3),"nuke
                      Nuke",EPICENTER 2019
17/12/19,Vitality (16),Natus Vincere (3),"inf
                      Inferno",EPICENTER 2019
17/12/19,Natus Vincere (16),Vitality (4),"d2
                      Dust2",EPICENTER 2019
17/12/19,Natus Vincere (16),Heroic (5),"nuke
                      Nuke",EPICENTER 2019
17/12/19,Heroic (8),Natus Vincere (16),"inf
                      Inferno",EPICENTER 2019
17/12/19,Fierce (16),Vexed (9),"mrg
                      Mirage",WESG 2019 West Europe Closed Qualifier
17/12/19,Vexed (14),Fierce (16),"d2
                      Dust2",WESG 2019 West Europe Closed Qualifier
17/12/19,Vexed (19),Fierce (17),"ovp
                      Overpass",WESG 2019 West Europe Closed Qualifier
17/12/19,EHOME (1),Vitality (16),"nuke
                      Nuke",EPICENTER 2019
