date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
7/2/19,Young Blood,16,Nocturns,14,Mirage,ESL LA League Season 3 - Southern Cone,Young Blood,2
7/2/19,All Knights,16,Bring It On,11,Inferno,ESL LA League Season 3 - Southern Cone,All Knights,5
7/2/19,paiN,6,DETONA,16,Train,ESL LA League Season 3 - Brazil,paiN,10
7/2/19,DETONA,16,paiN,12,Inferno,ESL LA League Season 3 - Brazil,DETONA,4
7/2/19,expert,4,Red Reserve,16,Cache,United Masters League,expert,12
7/2/19,Red Reserve,16,expert,9,Inferno,United Masters League,expert,7
7/2/19,G2,22,OpTic,20,Dust2,IEM Sydney 2019 Europe Closed Qualifier,G2,2
7/2/19,G2,16,OpTic,12,Nuke,IEM Sydney 2019 Europe Closed Qualifier,G2,4
7/2/19,Complexity,13,Luminosity,16,Overpass,IEM Sydney 2019 North America Closed Qualifier,Luminosity,3
7/2/19,Luminosity,14,Complexity,16,Cache,IEM Sydney 2019 North America Closed Qualifier,Complexity,2
7/2/19,Complexity,9,Luminosity,16,Mirage,IEM Sydney 2019 North America Closed Qualifier,Complexity,7
7/2/19,Envy,8,Ghost,16,Inferno,IEM Sydney 2019 North America Closed Qualifier,Envy,8
7/2/19,Envy,13,Ghost,16,Dust2,IEM Sydney 2019 North America Closed Qualifier,Ghost,3
7/2/19,DreamEaters,16,Unique,6,Inferno,OGA Counter PIT Season 4,Unique,10
7/2/19,DreamEaters,16,Unique,19,Mirage,OGA Counter PIT Season 4,Unique,3
7/2/19,DreamEaters,16,Unique,7,Dust2,OGA Counter PIT Season 4,Unique,9
7/2/19,x6tence Galaxy,11,unknown,16,Inferno,LOOT.BET HotShot Series Season 1,unknown,5
7/2/19,unknown,16,x6tence Galaxy,13,Nuke,LOOT.BET HotShot Series Season 1,unknown,3
7/2/19,unknown,7,x6tence Galaxy,16,Overpass,LOOT.BET HotShot Series Season 1,unknown,9
7/2/19,Tricked,9,Sprout,16,Nuke,United Masters League,Tricked,7
7/2/19,Sprout,12,Tricked,16,Mirage,United Masters League,Tricked,4
7/2/19,BIG,16,3DMAX,4,Cache,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,12
7/2/19,3DMAX,19,BIG,16,Dust2,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,3
7/2/19,BIG,16,3DMAX,3,Inferno,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,13
7/2/19,Chaos,16,x-kom,14,Train,OGA Counter PIT Season 4,Chaos,2
7/2/19,Chaos,16,x-kom,12,Overpass,OGA Counter PIT Season 4,Chaos,4
7/2/19,ALTERNATE aTTaX,16,LDLC,8,Overpass,ESEA MDL Season 30 Europe,LDLC,8
7/2/19,x6tence Galaxy,19,Valiance,16,Mirage,United Masters League,x6tence Galaxy,3
7/2/19,Valiance,16,x6tence Galaxy,12,Dust2,United Masters League,Valiance,4
7/2/19,ex-Fragsters,6,AGO,16,Dust2,LOOT.BET HotShot Series Season 1,ex-Fragsters,10
7/2/19,AGO,16,ex-Fragsters,8,Train,LOOT.BET HotShot Series Season 1,ex-Fragsters,8
7/2/19,G2,19,forZe,16,Overpass,IEM Sydney 2019 Europe Closed Qualifier,G2,3
7/2/19,forZe,16,G2,14,Dust2,IEM Sydney 2019 Europe Closed Qualifier,forZe,2
